Position,Youtube title,Artist,Track title,Spotify URL
134,ART ENSEMBLE OF CHICAGO Theme De Yoyo,Art Ensemble Of Chicago,Thème de Yoyo,spotify:track:6fiG1M6mhrH82dgNwlRjJ1
135,The Heath Brothers Smilin' Billy Suite Pt II,,,
136,Weather Report Non Stop Home,Weather Report,Non-Stop Home,spotify:track:38PcKj7FabS1vc3b4EAioL
137,Alice Coltrane Joe Henderson Earth,Joe Henderson,Earth,spotify:track:0KizVXOuCH6af4LOPOwfR1
138,melted soul,Cha Cha Shaw,Melted Soul,spotify:track:0TLWi93tj4PtGFHK1SIR9i
139,DAVID LEE JR COSMIC VISION,,,
140,David Lee Jr I Want Our Love To Always Last,,,
141,Eddie Gale The Rain,Eddie Gale,The Rain,spotify:track:4R4mB2JBZ5To3pMLXEcSRe
142,Eddie Gale Black Rhythm Happening,Eddie Gale,Black Rhythm Happening,spotify:track:2dSxJqah1Q6S2T5Q6cmPZZ
143,Alice Coltrane Huntington Ashram Monastery,Alice Coltrane,Paramahansa Lake,spotify:track:3DOdq0LP6z8GzVSQY30Alz
144,Prince of Peace Pharoah Saunders Leon Thomas,,,
145,John Coltrane Kulu S Mama,,,
146,Pharoah Sanders The Creator Has A Master Plan,Pharoah Sanders,The Creator Has a Master Plan,spotify:track:5Wge39sTGR3Ue7G4XrDOPa
147,Sun Ra If you Find earth Boring,,,
148,Sun Ra Lanquidity,Giorgio Gaslini,Lanquidity,spotify:track:6zDbU9fH30DTjwe26cZebY
149,Phil Ranelin Vibes From The Tribe,,,
150,Max Roach Garvey' s Ghost,,,
151,Marta Acuna Dance Dance Dance Disco,Marta Acuna,"Dance, Dance, Dance (Disco Version)",spotify:track:0QqE4joYSAVv91GkwaZuRf
152,SYLVESTER 'OVER OVER',Sylvester,Over And Over,spotify:track:6RewYu2hTmEuiSRSGUTPH5
153,Disco Down Jesse Gould Out Of Work,,,
154,Queen Yahna Ain't It Time Instrumental,Queen Yahna,Ain't It Time (Instrumental),spotify:track:0VPPU93SAqgSO85lMvGeAS
155,Jesse Gee That's Hot,,,
156,PHILIPPE BESOMBES HACHE 06 FRANCE,,,
157,Ilous Decuyper Berceuse,Ilous & Decuyper,Berceuse,spotify:track:2x7OjYBx3lbvu9dH3FQMyy
158,Philippe Besombes Jean Louis Rizet Lundi Matin P le,,,
159,P le Haute Pression Besombes Rizet,,,
160,Tom Scott Today,Tom Scott,Today,spotify:track:4i5hLY7mNIp70YhZveeItm
161,Henri Roger Images part one,,,
162,Dorothy Ashby Essence Of Sapphire,Dorothy Ashby,Essence Of Sapphire,spotify:track:64hIGVT0pT44TP0PGGZ2aU
163,CAN Future Days,Can,Future Days,spotify:track:4KdjQ2DMs845e6Ag6TO6Yg
164,CAN Vitamin C,Can,Vitamin C - 2004 Remastered Version,spotify:track:4YCHe8aj0sEkNRJKGkHy4R
165,Ananda Shankar 08 Raghupati by EarpJohn,,,
166,Joe McPhee Shakey Jake,Joe Mcphee,Shakey Jake,spotify:track:3498LN13tEg0Kn1Bua0I3z
167,Joe McPhee and John Snyder Windows in Dreams,,,
168,KARRIEM I love you Pashlo records,,,
169,William Onyeabor When the Going Is Smooth Good,William Onyeabor,When the Going is Smooth & Good,spotify:track:0ZxEVXaa9pacsQcpdxy6Ib
170,William Onyeabor Good Name,William Onyeabor,Good Name,spotify:track:280ug6L9DqErWjRYws1xp8
171,Jean Schwarz Prologue Maison Rouge,,,
172,Bruce Ditmas Yellow,,,
173,Vito Ricci The Ship Was Sailing,,,
174,Lena Platonos Shadow Of Blood,,,
175,Niama Makalou Kognokoura m4v,,,
176,Zamaane Ko Dikhana Hai Dil Lena Khel Hai Dildaar Ka,,,
177,Bernard Bonnier I can't sing,Bernard Bonnier,I Can't Sing ...,spotify:track:61NAefEIttrkF8xGtF88PY
178,Eskaton Dagon,Eskaton,Dagon,spotify:track:5nrb4RxsAv43kqBRNbQCw6
179,A Number Of Names 'Sharevari' Capriccio,,,
180,Don Cherry Bra Joe From Kilimanjaro Terry's Tune Organic Society,,,
181,The Albert One Life,The Albert,One Life,spotify:track:2CiC8bEsSjUHae0wvz9gei
182,Cross Country by Archie Whitewater,,,
183,John Klemmer Free Soul,John Klemmer,Free Soul,spotify:track:3sYgpIzjS1VJSxrPZ4yTJ4
184,Rashied Ali Frank Lowe Exchange Part 1,Rashied Ali,Exchange Part 1,spotify:track:67yKwuUdK7GmLrFjAvOf8i
185,elisio and voz de cabo verde capchona,,,
186,Tony Wilson Hangin' Out In Space Connection Records,,,
187,Changin' Sharon Ridley,Ms. (Sharon) Ridley,Changin',spotify:track:4hoCFXwPfVeXvR8mN4leaz
188,Sunbelt Spin it High Energy Polymarchs,,,
189,Z Factor B2 Fast Cars,,,
190,Iration Steppas Iration Steppas vs Dennis Rootical,,,
191,Belle Epoque 'Miss Broadway,Belle Epoque,Miss Broadway - Gazeebo Edit,spotify:track:1BhyHULBGRlHsy8K8ixTQ4
192,Discoth que Disco Special,,,
193,Eddy Grant Time Warp 12'' VERSION,,,
194,Dennis Coffey Wings Of Fire,,,
195,Jackson Sisters I Believe in Miracles Soul Funk,Jackson Sisters,I Believe In Miracles - Extended Version,spotify:track:2zZXjlrRupK7Ze8pr9RDl9
